City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
175,Beloha,MG,-25.1667,45.05,72.66,87,17,13.73,few clouds
176,Pimentel,PE,-6.8367,-79.9342,72.18,77,87,10.04,overcast clouds
177,Fortuna,US,40.5982,-124.1573,56.43,89,0,5.75,clear sky
178,Carnarvon,AU,-24.8667,113.6333,96.87,32,75,5.75,broken clouds
179,Baikunthpur,IN,23.25,82.55,60.96,29,7,2.53,clear sky
180,Kamenka,RU,51.3223,42.7678,33.75,100,100,7.4,overcast clouds
181,Paso De Carrasco,UY,-34.8603,-56.0522,69.94,73,0,11.5,clear sky
182,Ostrovnoy,RU,68.0531,39.5131,25.47,86,100,20.29,overcast clouds
183,Mar Del Plata,AR,-38.0023,-57.5575,69.1,83,20,25.99,few clouds
184,Saint George,US,37.1041,-113.5841,56.43,24,0,1.01,clear sky
185,Kruisfontein,ZA,-34.0033,24.7314,62.89,89,2,4.07,clear sky
186,Kiama,AU,-34.6833,150.8667,76.24,68,86,1.01,overcast clouds
187,Opuwo,NA,-18.0607,13.84,66.87,91,98,4.97,light rain
188,Luebo,CD,-5.35,21.4167,69.4,97,100,1.99,moderate rain
189,Saldanha,ZA,-33.0117,17.9442,61.43,94,6,3.22,clear sky
190,Kemijarvi,FI,66.7131,27.4306,23.58,96,100,7.05,light snow
191,Saint-Pierre,RE,-21.3393,55.4781,78.48,78,75,12.66,broken clouds
192,Nacogdoches,US,31.6002,-94.6335,43.79,75,0,0.0,clear sky
193,Fort-Shevchenko,KZ,44.5086,50.263,39.22,57,100,10.98,overcast clouds
194,College,US,64.8569,-147.8028,5.58,81,75,0.0,light snow
195,Honningsvag,NO,70.9821,25.9704,28.96,67,100,32.14,overcast clouds
196,Mapiripan,CO,2.8892,-72.1256,80.94,51,93,3.94,overcast clouds
197,Mildura,AU,-34.2,142.15,74.07,33,0,6.91,clear sky
198,Castro,BR,-24.7911,-50.0119,56.26,97,41,4.29,scattered clouds
199,Medicine Hat,CA,50.0501,-110.6683,20.35,78,100,8.01,overcast clouds
200,Padang,ID,-0.9492,100.3543,80.65,68,100,0.87,overcast clouds
201,Sonoma,US,38.55,-122.9011,62.11,57,20,4.61,few clouds
202,Keti Bandar,PK,24.1447,67.4497,70.11,68,1,9.95,clear sky
203,Palmeira,BR,-25.4294,-50.0064,58.62,94,34,3.24,scattered clouds
204,Baghmara,IN,23.795,86.2085,64.38,33,27,4.74,scattered clouds
205,Nome,US,64.5011,-165.4064,8.67,47,0,6.91,clear sky
206,Raudeberg,NO,61.9875,5.1352,33.19,55,90,9.64,overcast clouds
207,Svetlogorsk,BY,52.6333,29.7333,34.02,82,100,15.73,overcast clouds
208,Rosetta,EG,31.4044,30.4164,56.64,78,2,16.98,clear sky
209,Faanui,PF,-16.4833,-151.75,80.82,72,77,9.6,light rain
210,Rio Gallegos,AR,-51.6226,-69.2181,48.61,83,100,15.7,moderate rain
211,Muros,ES,42.7762,-9.0603,47.84,72,33,12.21,scattered clouds
212,Qui Nhon,VN,13.7667,109.2333,79.61,74,77,3.11,broken clouds
213,Ponta Do Sol,PT,32.6667,-17.1,62.01,86,99,8.88,overcast clouds
214,Boda,CF,4.3189,17.4695,75.52,47,98,4.16,overcast clouds
215,Saskylakh,RU,71.9167,114.0833,-24.47,96,6,8.84,clear sky
216,Orchard Homes,US,46.8633,-114.0484,44.74,67,100,5.75,overcast clouds
217,Biaora,IN,23.8667,76.9167,66.43,36,48,6.73,scattered clouds
218,Egvekinot,RU,66.3167,-179.1667,-15.5,87,76,9.6,broken clouds
219,Anjozorobe,MG,-18.4,47.8667,59.32,90,75,6.2,broken clouds
220,Nikolskoye,RU,59.7035,30.7861,34.72,90,98,9.53,overcast clouds
221,Shakawe,BW,-18.3667,21.85,66.06,83,96,2.59,overcast clouds
222,Hrebinka,UA,50.1171,32.4361,31.82,92,22,8.14,few clouds
223,Pangnirtung,CA,66.1451,-65.7125,-24.79,96,99,2.68,overcast clouds
224,Morgan City,US,29.6994,-91.2068,51.01,71,0,10.36,clear sky
